Job Role Description,Required Skills
Full Stack JavaScript Developer," JavaScript, Node.js, React, Express, MongoDB"
Compiler Engineer,"C/C++, Lex/Yacc, Compiler Design, Parsing"
Cloud Security Engineer,"AWS/Azure/GCP Security Services, Identity and Access Management, Security Audits"
Cybersecurity Analyst,"Network Security, Intrusion Detection/Prevention, Incident Response, SIEM"
E-commerce Developer,"PHP, Magento, WooCommerce, Payment Gateways, E-commerce Platforms"
Flutter Developer,"Dart, Flutter Framework, UI Development, Cross-Platform App Development"
iOS Developer,"Swift, Objective-C, Xcode, UIKit, Core Data"
Android Developer,Java/K
Kotlin Developer,"Kotlin, Java, Android SDK, Coroutines, MVVM Architecture"
Ruby on Rails Developer,"Ruby, Ruby on Rails, JavaScript, PostgreSQL, MVC Frameworks"
SharePoint Developer,"SharePoint, C#, .NET Framework, SharePoint Designer, JavaScript"
SAP Consultant,"SAP Modules (e.g., SAP FI/CO, SAP MM, SAP SD), ABAP, SAP Implementation"
CRM Developer,"Salesforce, Microsoft Dynamics, CRM Customization, API Integration"
ERP Developer,"Oracle ERP, SAP ERP, Microsoft Dynamics, ERP Customization, SQL"
WordPress Developer,"WordPress, PHP, HTML/CSS, JavaScript, Plugin Development"
Unity Developer,"Unity, C#, Game Development, 3D Graphics, Physics"
Cloud Solutions Architect,"AWS/Azure/GCP, Architecture Design, Cloud Migration, Security"
System Integration Engineer,"API Integration, Middleware, ESB (Enterprise Service Bus), ETL"
SharePoint Administrator," SharePoint, PowerShell Scripting, SharePoint Farm Configuration"
Business Intelligence Developer,"SQL, ETL, Data Warehousing, Tableau, Power BI"
IT Project Manager,"Project Management, Agile/Scrum, Stakeholder Management, Budgeting"
Network Engineer,"Networking Protocols, Routing/Switching, Cisco, Firewall Configuration"
Quality Assurance Manager,"Test Planning, Test Strategy, Quality Management, Process Improvement"
SAP Basis Administrator,"SAP Basis, System Administration, SAP Installation/Upgrades"
UX Researcher,"User Research, Usability Testing, Persona Development, Information Architecture"
Digital Marketing Analyst,"SEO/SEM, Google Analytics, Social Media Analytics, A/B Testing"
CRM Administrator,"Salesforce Administration, Data Management, User Support"
IT Support Specialist,"Troubleshooting, Help Desk Support, Hardware/Software Installation"
IT Business Analyst,"Requirements Gathering, Process Mapping, Stakeholder Communication"
Robotic Process Automation (RPA) Developer,"RPA Tools (e.g., UiPath, Automation Anywhere), Process Automation"
Salesforce Developer,"Salesforce, Apex, Visualforce, Lightning Components, Salesforce Integration"
IT Security Analyst,"Information Security, Vulnerability Assessment, Security Incident Response"
IT Consultant,"IT Consultant: IT Strategy, Business Analysis, Technology Solutions, Client Consulting"
Business Systems Analyst," Requirements Analysis, Process Improvement, System Documentation"
IT Auditor,"Audit Planning, Risk Assessment, Compliance Evaluation, IT Controls"
Chatbot Developer,"Natural Language Processing (NLP), Machine Learning, Chatbot Platforms"
IT Trainer,"Training Delivery, Instructional Design, Learning Management Systems"
IT Operations Manager,"IT Infrastructure, Team Management, Incident Management"
IT Procurement Specialist,"Vendor Management, Contract Negotiation, Procurement Processes"
IT Sales Representative,"IT Sales, Client Relationship Management, Solution Selling"
IT Compliance Manager,"Regulatory Compliance, Auditing, Policy Development"
IT Change Manager,"Change Management, Change Control Processes, Communication"
IT Business Development Manager,"Business Development, Client Acquisition, Market Analysis"
IT Risk Manager,"Risk Assessment, Risk Mitigation Strategies, Risk Management Frameworks"
IT Service Delivery Manager," Service Level Management, ITIL, Customer Relationship Management"
IT Asset Manager,"IT Asset Management, Inventory Management, Software Licensing"
IT Trainer,"Training Delivery, Instructional Design, Learning Management Systems"
IT Operations Manager,"IT Infrastructure, Team Management, Incident Management"
IT Procurement Specialist,"Vendor Management, Contract Negotiation, Procurement Processes"
IT Procurement Specialist,"Vendor Management, Contract Negotiation, Procurement Processes"
IT Sales Representative,"IT Sales, Client Relationship Management, Solution Selling"
IT Compliance Manager,"Regulatory Compliance, Auditing, Policy Development"
Front-End Developer,"HTML/CSS, JavaScript, React, Angular, Git, UX/UI Design"
Back-End Developer,"Python, Java, SQL, Node.js, RESTful APIs, Docker"
Mobile App Developer,"Java/Kotlin (Android), Swift/Objective-C (iOS), React Native, Flutter, Firebase"
Data Engineer,"Python, SQL, Apache Spark, Hadoop, ETL, Data Warehousing"
DevOps Engineer,"Linux, Docker, Kubernetes, Jenkins, AWS/Azure/GCP, Infrastructure as Code"
Cloud Architect,"AWS/Azure/GCP, Networking, Security, DevOps, Infrastructure as Code"
Software Architect,"System Design, Software Development Lifecycle, Object-Oriented Programming, Design Patterns"
QA Engineer,"Manual/Automated Testing, Test Planning, Bug Tracking, Selenium, JUnit"
Security Engineer,"Cybersecurity, Network Security, Vulnerability Assessment, Penetration Testing"
Blockchain Developer,"Solidity, Ethereum, Smart Contracts, Cryptography, DApps"
Game Developer,"Unity, C#, 3D Modeling/Animation, Game Physics, Game Design"
Embedded Systems Engineer,"C/C++, Microcontrollers, PCB Design, Firmware Development"
Machine Learning Engineer,"Python, TensorFlow, PyTorch, Neural Networks, Deep Learning"
Natural Language Processing (NLP) Engineer,"Python, NLTK, SpaCy, Text Mining, Sentiment Analysis"
Robotics Engineer,"C/C++, ROS (Robot Operating System), Computer Vision, Kinematics"
UI/UX Designer,"Adobe Creative Suite, Wireframing, Prototyping, User Research, Usability Testing"
Software Development Manager,"Leadership, Project Management, Agile/Scrum, Budgeting, Stakeholder Management"
AI Engineer,"Python, Machine Learning, Deep Learning, Neural Networks, Reinforcement Learning"
Big Data Engineer,"Hadoop, Spark, Scala, Hive, ETL, Data Pipelines"
Cloud Engineer,"AWS/Azure/GCP, Infrastructure as Code, Networking, Security"
Systems Administrator,"Linux/Unix, Shell Scripting, Networking, System Monitoring"
Site Reliability Engineer (SRE)," Linux/Unix, Scripting, Monitoring/Alerting, Incident Management"
Automation Engineer,"Python, Selenium, Test Automation Frameworks, Continuous Integration/Deployment"
Backend API Engineer," Java, Spring Boot, RESTful APIs, Microservices, Database Design"
Infrastructure Engineer,"Linux/Unix, Networking, Configuration Management (Ansible, Puppet, Chef)"
AR/VR Developer,"Unity, C#, Virtual Reality, Augmented Reality, 3D Graphics"
Full Stack JavaScript Developer," JavaScript, Node.js, React, Express, MongoDB"
Compiler Engineer,"C/C++, Lex/Yacc, Compiler Design, Parsing"
Cloud Security Engineer,"AWS/Azure/GCP Security Services, Identity and Access Management, Security Audits"
Cybersecurity Analyst,"Network Security, Intrusion Detection/Prevention, Incident Response, SIEM"
E-commerce Developer,"PHP, Magento, WooCommerce, Payment Gateways, E-commerce Platforms"
Flutter Developer,"Dart, Flutter Framework, UI Development, Cross-Platform App Development"
iOS Developer,"Swift, Objective-C, Xcode, UIKit, Core Data"
Android Developer,Java/K
Kotlin Developer,"Kotlin, Java, Android SDK, Coroutines, MVVM Architecture"
Ruby on Rails Developer,"Ruby, Ruby on Rails, JavaScript, PostgreSQL, MVC Frameworks"
SharePoint Developer,"SharePoint, C#, .NET Framework, SharePoint Designer, JavaScript"
SAP Consultant,"SAP Modules (e.g., SAP FI/CO, SAP MM, SAP SD), ABAP, SAP Implementation"
CRM Developer,"Salesforce, Microsoft Dynamics, CRM Customization, API Integration"
ERP Developer,"Oracle ERP, SAP ERP, Microsoft Dynamics, ERP Customization, SQL"
WordPress Developer,"WordPress, PHP, HTML/CSS, JavaScript, Plugin Development"
Unity Developer,"Unity, C#, Game Development, 3D Graphics, Physics"
Cloud Solutions Architect,"AWS/Azure/GCP, Architecture Design, Cloud Migration, Security"
System Integration Engineer,"API Integration, Middleware, ESB (Enterprise Service Bus), ETL"
SharePoint Administrator," SharePoint, PowerShell Scripting, SharePoint Farm Configuration"
Business Intelligence Developer,"SQL, ETL, Data Warehousing, Tableau, Power BI"
IT Project Manager,"Project Management, Agile/Scrum, Stakeholder Management, Budgeting"
Network Engineer,"Networking Protocols, Routing/Switching, Cisco, Firewall Configuration"
Quality Assurance Manager,"Test Planning, Test Strategy, Quality Management, Process Improvement"
SAP Basis Administrator,"SAP Basis, System Administration, SAP Installation/Upgrades"
UX Researcher,"User Research, Usability Testing, Persona Development, Information Architecture"
Digital Marketing Analyst,"SEO/SEM, Google Analytics, Social Media Analytics, A/B Testing"
CRM Administrator,"Salesforce Administration, Data Management, User Support"
IT Support Specialist,"Troubleshooting, Help Desk Support, Hardware/Software Installation"
IT Business Analyst,"Requirements Gathering, Process Mapping, Stakeholder Communication"
Robotic Process Automation (RPA) Developer,"RPA Tools (e.g., UiPath, Automation Anywhere), Process Automation"
Salesforce Developer,"Salesforce, Apex, Visualforce, Lightning Components, Salesforce Integration"
IT Security Analyst,"Information Security, Vulnerability Assessment, Security Incident Response"
IT Consultant,"IT Consultant: IT Strategy, Business Analysis, Technology Solutions, Client Consulting"
Business Systems Analyst," Requirements Analysis, Process Improvement, System Documentation"
IT Auditor,"Audit Planning, Risk Assessment, Compliance Evaluation, IT Controls"
Chatbot Developer,"Natural Language Processing (NLP), Machine Learning, Chatbot Platforms"
IT Trainer,"Training Delivery, Instructional Design, Learning Management Systems"
IT Operations Manager,"IT Infrastructure, Team Management, Incident Management"
IT Procurement Specialist,"Vendor Management, Contract Negotiation, Procurement Processes"
IT Sales Representative,"IT Sales, Client Relationship Management, Solution Selling"
IT Compliance Manager,"Regulatory Compliance, Auditing, Policy Development"
IT Change Manager,"Change Management, Change Control Processes, Communication"
IT Business Development Manager,"Business Development, Client Acquisition, Market Analysis"
IT Risk Manager,"Risk Assessment, Risk Mitigation Strategies, Risk Management Frameworks"
IT Service Delivery Manager," Service Level Management, ITIL, Customer Relationship Management"
IT Asset Manager,"IT Asset Management, Inventory Management, Software Licensing"
Salesforce Developer,"Salesforce, Apex, Visualforce, Lightning Components, Salesforce Integration"
IT Security Analyst,"Information Security, Vulnerability Assessment, Security Incident Response"
IT Consultant,"IT Consultant: IT Strategy, Business Analysis, Technology Solutions, Client Consulting"
Business Systems Analyst," Requirements Analysis, Process Improvement, System Documentation"
IT Auditor,"Audit Planning, Risk Assessment, Compliance Evaluation, IT Controls"
Chatbot Developer,"Natural Language Processing (NLP), Machine Learning, Chatbot Platforms"
IT Trainer,"Training Delivery, Instructional Design, Learning Management Systems"
IT Operations Manager,"IT Infrastructure, Team Management, Incident Management"
IT Procurement Specialist,"Vendor Management, Contract Negotiation, Procurement Processes"
IT Sales Representative,"IT Sales, Client Relationship Management, Solution Selling"
IT Compliance Manager,"Regulatory Compliance, Auditing, Policy Development"
IT Change Manager,"Change Management, Change Control Processes, Communication"
IT Business Development Manager,"Business Development, Client Acquisition, Market Analysis"
